"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"id"
1001092|"Allan Mørup"|"Danske Busvognmænd (bestyrelse)"|"Næstformand"|"Allan Mørup, Mørups Turistfart ApS, Næstformand & Formand for DB's Handicapsektor"|33
1000152|"Allan Nielsen"|"Kooperationen - Den kooperative Arbejdsgiver- og Interesseorganisation i Danmark (Bestyrelse)"|""|"Direktør Allan Nielsen DCM Malerfirma A/S"|34
1000961|"Allan Ohms"|"Danske Advokater (bestyrelse)"|""|"Allan Ohms, Forum Advokater A/S"|35
1001035|"Allan Rishøj"|"Danske Speditører (Fagudvalg Told)"|""|"Allan Rishøj, (Formand), Color Line Cargo A/S"|36
1000997|"Allan S. Bager"|"DANSK IT (IT Governance og Management)"|""|"Allan S. Bager, digitaliseringschef, Odense Kommune"|37
1000121|"Allan Søgaard Larsen"|"DI (Hovedbestyrelse)"|""|"Allan Søgaard Larsen Koncernchef Falck Danmark A/S"|38
1000125|"Allan Søgaard Larsen"|"DI (Udvalg for Erhvervspolitik)"|""|"Allan Søgaard Larsen Koncernchef Falck Danmark A/S"|38
1000113|"Allan Werk"|"Grafisk Arbejdsgiverforening (Repræsentantskab)"|""|"Bogtrykker Allan Werk WERKs Grafiske Hus a/s, Højbjerg"|39
1000114|"Allan Werk"|"Grafisk Arbejdsgiverforening (Bestyrelse)"|"Næstformand"|"Allan Werk WERKs Grafiske Hus a/s Højbjerg"|39
1000913|"Amanda Tonsgaard"|"Dansk Venture- og Kapitalfondsforening - DVCA (Juridisk Udvalg)"|""|"Amanda Tonsgaard, partner Advokatfirmaet Hannes Snellman"|40
1001065|"Anders Ankerstjerne"|"InvesteringsForeningsRådet (Juridisk udvalg)"|""|"Anders Ankerstjerne, BankInvest"|41
1000755|"Anders Borregaard"|"Foreningen af Rådgivende Ingeniører, F.R.I (Infrastrukturudvalget)"|""|"Anders Borregaard, EKJ"|42
1000709|"Anders Bové Christensen"|"Danske Arkitektvirksomheder (Aftaleudvalget)"|""|"Anders Bové Christensen, Regnbuen arkitekter"|43
1000994|"Anders Brandt-Clausen"|"Dansk Isindustri (bestyrelse)"|""|"Anders Brandt-Clausen, Commercial Manager Hjem-Is A/S"|44
1000722|"Anders Brüel"|"Bygherreforeningen (Energi og Miljø)"|""|"Anders Brüel, Realea"|45
1000703|"Anders Chr. Wegger"|"Hedeselskabet (repræsentantskabet)"|""|"Anders Chr. Wegger, Region Midtjylland"|46
1000120|"Anders Colding Friis"|"DI (Forretningsudvalg)"|""|"Anders Colding Friis Adm. direktør Scandinavian Tobacco Group A/S"|47
1000121|"Anders Colding Friis"|"DI (Hovedbestyrelse)"|""|"Anders Colding Friis Adm. direktør Scandinavian Tobacco Group A/S"|47
1000122|"Anders Colding Friis"|"DI (Internationale markedsudvalg)"|""|"Anders Colding Friis Adm. direktør Scandinavian Tobacco Group A/S"|47
1000807|"Anders Dalum Hansen"|"Fjerkræafgiftsfonden (bestyrelse)"|""|"Anders Dalum Hansen, Gårdejer Lyngby-Østergaard"|48
1000959|"Anders Dam"|"Finansrådet (Bestyrelse)"|""|"Anders Dam, Ordførende direktør Jyske Bank"|49
1000837|"Anders Danø"|"Byggesocietetet (Sundhedsudvalget )"|""|"Anders Danø, White Arkitekter A/S"|50
1001077|"Anders Dyrberg"|"KMC (Board of Directors)"|""|"Anders Dyrberg, farmer, Vice-chairman, Vice-chairman since 2008, Member of the board since 2006"|51
1000756|"Anders Dyrelund"|"Foreningen af Rådgivende Ingeniører, F.R.I (Energi, Miljø & Klima-udvalget)"|""|"Anders Dyrelund, Rambøll Danmark"|52
1000125|"Anders Eldrup"|"DI (Udvalg for Erhvervspolitik)"|""|"Anders Eldrup, R.1 Adm. direktør DONG ENERGY A/S"|53
1000123|"Anders Feddersen"|"DI (Udvalg for E-business)"|""|"Anders Feddersen Director of Sales - Financial Sector Services IBM Danmark ApS"|54
1000100|"Anders Fransgaard"|"Arbejdsgiverforeningen for Transport og Logistik (ATL) (Bestyrelse)"|"Formand"|"Anders Fransgaard Vognmand Anders Fransgaard"|55
1000121|"Anders Fransgaard"|"DI (Hovedbestyrelse)"|""|"Anders Fransgaard Vognmand Vognmand Anders Fransgaard"|55
1000133|"Anders Fransgaard"|"DI (Udvalg for Mindre og Mellemstore Virksomheder)"|""|"Anders Fransgaard Vognmand Vognmand Anders Fransgaard"|55
1000870|"Anders Frøjk Clausen"|"Danmarks Fiskehandlere (bestyrelse)"|""|"Anders Frøjk Clausen, Clausen Fisk ApS, Fiskerivej 4, 8000 Århus C"|56
1000863|"Anders Geiker"|"Brancheforeningen for Kontor og Papir i Danmark – KONPA (Bestyrelse)"|"Næstformand"|"Anders Geiker (næstformand), Adm. direktør DK Paper ApS"|57
1001020|"Anders Goul Nielsen"|"IT-Brancheforeningen (Udvalget for Sundheds IT)"|""|"Anders Goul Nielsen, Systematic A/S  anders.goul.nielsen@systematic.com"|58
1000966|"Anders Grum Kjærgaard"|"Dansk Energi – Produktion (bestyrelse)"|""|"Anders Grum Kjærgaard, Sønderborg Kraftvarmeværk I/S, medlem"|59
1000147|"Anders Hilbert"|"Asfaltindustrien (Direktion)"|""|"Anders Hilbert Overenskomstchef Overenskomster / Ansættelsesret"|60
1000147|"Anders Hundahl"|"Asfaltindustrien (Direktion)"|""|"Anders Hundahl Adm. direktør"|61
1000706|"Anders Hundahl"|"Dansk Vejforening (bestyrelse)"|""|"Anders Hundahl, Adm. direktør Asfaltindustrien"|61
1000828|"Anders Højer Schmidt"|"Byggesocietetet (Netværksgruppe6 i Aalborg)"|""|"Anders Højer Schmidt, Thorkild Kristensen Erhverv"|62
1000830|"Anders Højer Schmidt"|"Byggesocietetet (Netværksgruppe9 i Aalborg)"|""|"Anders Højer Schmidt, Thorkild Kristensen Erhverv"|62
1000107|"Anders Haahr Jensen"|"DS Håndværk & Industri (Hovedbestyrelsen)"|""|"6740 Bramming"|63
1000116|"Anders Jensen"|"DI (Udvalg for affald)"|""|"Anders Jensen Indkøbschef Novopan Træindustri A-S"|100064
1000158|"Anders Jensen"|"Finanssektorens Arbejdsgiverforening (Bestyrelse)"|""|"Bankdirektør Anders Jensen Nordea Bank Danmark A/S"|200064
1000159|"Anders Jensen"|"Finanssektorens Arbejdsgiverforening (Repræsentantskab)"|""|"Bankdirektør Anders Jensen Nordea Bank Danmark A/S"|200064
1000160|"Anders Jensen"|"Finanssektorens Arbejdsgiverforening (Forhandlingsudvalg)"|""|"Bankdirektør Anders Jensen Nordea Bank Danmark A/S"|200064
1000906|"Anders Jensen"|"Dansk Svømmeunion (bestyrelse)"|""|"Anders Jensen, Medlem"|300064
1000721|"Anders Kancir"|"Bygherreforeningen (Digitalisering)"|""|"Anders Kancir, Hvidovre Kommune"|65
1000706|"Anders Kargo"|"Dansk Vejforening (bestyrelse)"|""|"Anders Kargo, Adm. dir. Nynas A/S"|66
1000692|"Anders Krab-Johansen"|"Danske Dagblades Forening (Redaktionelt Udvalg)"|""|"Anders Krab-Johansen, Adm. direktør, ansvh. chefredaktør, medlem"|67
1001070|"Anders Kretzschmar"|"Danmarks Apotekerforening (bestyrelse)"|"Adm. Direktør"|"Anders Kretzschmar, adm. direktør"|68
1000799|"Anders Kunze Bønding"|"Børsmæglerforeningen (Investment Banking udvalget )"|""|"Anders Kunze Bønding, Head of Corporate Finance Danske Bank"|69
1001018|"Anders Lund Rendtorff"|"IT-Brancheforeningen (Open Source Udvalget)"|""|"Anders Lund Rendtorff, Oracle Danmark A/S - Formand  anders.rendtorff@oracle.com"|70
1000722|"Anders Lyngtorp"|"Bygherreforeningen (Energi og Miljø)"|""|"Anders Lyngtorp, Privatbo"|71
1000913|"Anders Markvardt"|"Dansk Venture- og Kapitalfondsforening - DVCA (Juridisk Udvalg)"|""|"Anders Markvardt, chefjurist Vækstfonden"|72
1000693|"Anders Mondrup"|"Brancheudvalget for Frø (repræsentanter)"|""|"Anders Mondrup, (næsformand)"|73
1000772|"Anders Oldau Gjelstrup"|"Den Danske Finansanalytikerforening (DDF) (Private Banking udvalget)"|""|"Anders Oldau Gjelstrup, Deloitte"|74
1000779|"Anders Pabian"|"Den Danske Finansanalytikerforening (DDF) (Investment and Securities Law Netværket)"|""|"Anders Pabian, Pensam"|75
1000973|"Anders Pedersen"|"Dansk Akvakultur (Havbrug)"|""|"Anders Pedersen,"|100076
1001058|"Anders Pedersen"|"Patriotisk Selskab (Husdyrbrugsudvalg)"|""|"Anders Pedersen, Driftsleder Bikuben Fonden"|200076
1000787|"Anders Petersen"|"Danmarks Kartoffel Råd"|""|"Anders Petersen, Newtec A/S, Direktør"|77
1000969|"Anders Raith Linemann"|"VP Securities A/S (bestyrelse)"|""|"Anders Raith Linemann, Client Mgr."|78
1000855|"Anders Rasmussen"|"Dagligvareleverandørerne (IT og Logistikudvalg)"|""|"Anders Rasmussen, Colgate-PalmoliveA/S."|79
1000990|"Anders Rudbæk"|"Foreningen af Fabrikanter og Importører af Elektriske Husholdningsapparater (FEHA) (bestyrelse)"|"Næstformand"|"Anders Rudbæk, Miele A/S (næstformand)"|80
1001040|"Anders Saldern Nielsen"|"De Danske Skovdyrkerforeninger (hovedbestyrelse)"|""|"Anders Saldern Nielsen, Klovborg - skovgaarden@email.dk"|81
1000872|"Anders Sinding Kristiansen"|"Danmarks optikerforening (Bestyrelse)"|""|"Anders Sinding Kristiansen, Optometrist Nyt Syn - Kristiansen Optik A/S"|82
1000738|"Anders Skotlander"|"Producentforeningen (bestyrelse)"|""|"Anders Skotlander, Repræsenterer information & corporate (suppleant)"|83
1000707|"Anders Strange"|"Danske Arkitektvirksomheder (bestyrelse)"|""|"Anders Strange, Aart A/S"|84
1000811|"Anders Thesbjerg Tang"|"Dansk Iværksætter Forening (bestyrelse)"|""|"Anders Thesbjerg Tang, Projektkoordinator"|85
1000129|"Anders Thomsen"|"DI (Udvalg for IT politik)"|""|"Anders Thomsen Direktør for politik og strategi Microsoft Danmark ApS"|86
1000131|"Anders Thomsen"|"DI (Udvalg for Medieindustri)"|""|"Anders Thomsen Direktør for politik og strategi Microsoft Danmark ApS"|86
1001068|"Anders Torbøl"|"Dansk-Fransk Handelsunion (bestyrelse)"|"Præsident"|"Anders Torbøl, Président, Advokat - MAQS Law Firm"|87
1000835|"Anders Ulf Clausen"|"Byggesocietetet (Miljøudvalget )"|""|"Anders Ulf Clausen, Rockwool International A/S"|88
1000124|"Anders Würtzen"|"DI (Udvalg for Energi- og Klimapolitik)"|""|"Anders Würtzen Head of Public Affairs A.P. Møller - Mærsk A/S"|89
1000136|"Anders Würtzen"|"DI (Udvalg for Selskabsret)"|""|"Anders Würtzen Head of Public Affairs A.P. Møller - Mærsk A/S"|89
1000763|"André Fleron"|"Medicoindustrien (bestyrelse)"|""|"André Fleron, Country Manager PAUL HARTMANN A/S, Bestyrelsesmedlem"|90
1000123|"André Rogaczewski"|"DI (Udvalg for E-business)"|""|"André Rogaczewski Partner/Salgsdirektør Netcompany A/S"|91
1000703|"Andreas Hastrup"|"Hedeselskabet (repræsentantskabet)"|""|"Andreas Hastrup, Region Sjælland 	"|92
1000825|"Andreas Olrik"|"Byggesocietetet (Netværksgruppe2 i København)"|""|"Andreas Olrik, Dorte Mandrup Arkitekter"|93
1000762|"Ane Arnth Jensen"|"Realkreditrådet (bestyrelse)"|"Direktør"|"Ane Arnth Jensen, Direktør"|94
1001054|"Ane Buch"|"Håndværksrådet (bestyrelse)"|"Adm. Direktør"|"Ane Buch, adm. direktør"|95
1001007|"Ane Marie Christensen"|"Foreningen af Interne Revisorer (Sektor: Finansielle)"|""|"Ane Marie Christensen, Chief Internal Auditor Nordea"|96
1000967|"Ane Rask"|"Dansk Energi – Elhandel (bestyrelse)"|""|"Ane Rask, Energi Fyn Handel A/S, medlem"|97
1000721|"Anette Ahlqvist Persson"|"Bygherreforeningen (Digitalisering)"|""|"Anette Ahlquist Persson, Københavns Universitet"|98
1000723|"Anette Ahlqvist Persson"|"Bygherreforeningen (Kvalitet og Proces)"|"Formand"|"Anette Ahlqvist Persson, (formand), KU Campus Plan & Byg"|98
1000922|"Anette Blankenborg"|"Danske Møbelhandlere (bestyrelse)"|""|"Anette Blankenborg, Sovezonen, Helsinge"|99
1000824|"Anette Grotum Sørensen"|"Byggesocietetet (Netværksgruppe1 i København)"|""|"Anette Grotum Sørensen, Sehested Group A/S"|100
1001006|"Anette Kauffmann Laursen"|"Foreningen af Interne Revisorer (bestyrelse)"|""|"Anette Kauffmann Laursen, Senior Audit Manager, CIA, Afdelingsdirektør Nordea, Bestyrelsesmedlem"|101
1001025|"Anette Krongaard Petersen"|"IT-Brancheforeningen (Udvalget for it-sikkerhed)"|""|"Anette Krongaard Petersen, Telenor  anp@telenor.dk"|102
1000829|"Anette Kusk"|"Byggesocietetet (Netværksgruppe7 i Århus)"|""|"Anette Kusk, Abel & Skovgård Larsen"|103
1001005|"Anette Laigaard"|"Daginstitutionernes Lands-Organisation (DLO) (bestyrelse)"|""|"Anette Laigaard, rep. Region Syd"|104
1001065|"Anette Nørgaard"|"InvesteringsForeningsRådet (Juridisk udvalg)"|""|"Anette Nørgaard, Jyske Invest"|105
1001020|"Anette Roldskov Quist"|"IT-Brancheforeningen (Udvalget for Sundheds IT)"|""|"Anette Roldskov Quist, NNIT A/S  atrq@nnit.com"|106
1000130|"Anette Ryde"|"DI (Udvalg for Konkurrenceret)"|""|"Anette Ryde Director A.P. Møller - Mærsk A/S"|107
1001023|"Anette Vainer"|"IT-Brancheforeningen (Udvalget for Digital Forvaltning)"|""|"Anette Vainer, MICROSOFT Danmark ApS  anettev@microsoft.com"|108
1001042|"Ango Winther"|"Dansk Vand- og Spildevandsforening (DANVA) (bestyrelse)"|""|"Ango Winther, Århus Vand"|109
1000714|"Anita Lindholm Krak"|"Danske Arkitektvirksomheder (IT-udvalget)"|""|"Anita Lindholm Krak, Lundgaard & Tranberg Arkitekter A/S"|110
1000968|"Anita Rønne"|"Energiretsforeningen (bestyrelse)"|"Formand"|"Anita Rønne, (formand), Lektor Juridisk Fakultet, Københavns Universitet"|111
1000756|"Anja Collin Højen"|"Foreningen af Rådgivende Ingeniører, F.R.I (Energi, Miljø & Klima-udvalget)"|""|"Anja Collin Højen, Moe & Brødsgaard"|112
1000141|"Anja Greer Karlsson"|"DI (Udvalg for Turisme)"|"Sekretær"|"Anja Greer Karlsson Chefsekretær DI"|113
1001001|"Anja Hilt"|"DANSK IT (Program- og projektledelse)"|""|"Anja Hilt, senior projektleder og organisationskonsulent, Tectura A/S"|114
1001012|"Anja Monrad"|"IT-Brancheforeningen (hovedbestyrelse)"|""|"Anja Monrad, Dell A/S  anja_monrad@dell.com"|115
1000787|"Anker Boye"|"Danmarks Kartoffel Råd"|"Formand"|"Anker Boye, Odense (formand), Borgmester"|116
1000886|"Anker Nielsen"|"Dansk Håndbold Forbund (bestyrelse)"|""|"Anker Nielsen, Økonomiansvarlig"|117
1000888|"Anker Nielsen"|"Dansk Håndbold Forbund (økonomiudvalget)"|"Formand"|"Anker Nielsen, Rørkærvej 91, 8722 Hedensted"|117
1000139|"Ann-Louise Hansen"|"DI (Udvalg for Telepolitik)"|""|"Ann-Louise Hansen Juridisk direktør Hi3G Denmark ApS"|118
1001021|"Ann-Louise Hansen"|"IT-Brancheforeningen (Teleudvalget)"|""|"Ann-Louise Hansen, 3 (HI3G Denmark ApS)  ann-louise.hansen@3.dk"|118
1000723|"Ann Bergithe Trampe Broch"|"Bygherreforeningen (Kvalitet og Proces)"|""|"Ann Bergithe Trampe Broch, Københavns Ejendomme"|119
1000967|"Ann Sloth Rædkjær"|"Dansk Energi – Elhandel (bestyrelse)"|""|"Ann Sloth Rædkjær, Nordjysk Elhandel A/S, medlem"|120
1000909|"Anna-Kathrine Hauborg"|"Dansk Vandrelaug (styrelse)"|"Sekretariatsleder"|"Anna-Kathrine Hauborg , sekretariatsleder"|121
1000150|"Anna Margrethe Ikast"|"LandsdelsOrkesterForeningen (Bestyrelse)"|"Næstformand"|"NÆSTFORMAND: Sønderjyllands Symfoniorkester Anna Margrethe Ikast, bestyrelsesformand"|122
1000824|"Anna Maria Indrio"|"Byggesocietetet (Netværksgruppe1 i København)"|""|"Anna Maria Indrio, Arkitektfirmaet C.F. Møller"|123
1000846|"Anna Marie Dinesen"|"Landbrug & Fødevarer (Erhvervsfjerkræsektionen – bestyrelse)"|""|"Anna Marie Dinesen, Valgt af Rugeægsproducenter"|124
1000729|"Anna Marie Schou Ringive"|"Dansk Aktionærforening (bestyrelse)"|""|"Anna Marie Schou Ringive, Økonomisk rådgiver, praktisk og teoretisk uddannet inden for bank- og realkreditsektoren. Mange års erfaring fra bl.a. Sparekassen Sydjylland, Sparinvest og Realkredit Danmark. Specialviden i realkredit, pension og investering. Dybtgående kendskab til den finansielle sektor. Foreningens repræsentant i Pengeinstitutankenævnet, suppleant for foreningen i Fondsrådet samt medlem af foreningens generalforsamlingsudvalg, hvorfor hun ofte repræsenterer foreningen ved generalforsamlinger i banker og investeringsforeninger. Født 1946."|125
1000731|"Anna Marie Schou Ringive"|"Dansk Aktionærforening (Generalforsamlingsudvalg)"|""|"Anna Marie Schou Ringive,"|125
1000734|"Anna Marie Schou Ringive"|"Dansk Aktionærforening (Lokalforeningsudvalg)"|""|"Anna Marie Schou Ringive,"|125
1000852|"Anna Møller Kristensen"|"Landbrug & Fødevarer (Familieudvalget)"|""|"Anna Møller Kristensen, SYD"|126
1000715|"Anne-Lene Jørgensen"|"Danske Arkitektvirksomheder (Kompetenceudvalget)"|""|"Anne-Lene Jørgensen, Varmings Tegnestue"|127
1000969|"Anne-Lise Emcken Hansen"|"VP Securities A/S (bestyrelse)"|""|"Anne-Lise Emcken Hansen, Head of Technical Development"|128
1000119|"Anne-Marie Buemann"|"DI (Udvalg for design)"|""|"Anne-Marie Buemann Direktør OeO ApS"|129
1001082|"Anne-Marie Dohm"|"Danske Specialmedier (Anders Bording Prisens komité)"|""|"Anne-Marie Dohm, (Medie- og Journalistprisen)"|130
1000134|"Anne-Marie Levy Rasmussen"|"DI (Udvalg for Offentlig-privat samspil)"|""|"Anne-Marie Levy Rasmussen Direktør Corporate Affairs GlaxoSmithKline Pharma A/S"|131
1001038|"Anne-Mette Ahlmann"|"Danske Speditører (Fagudvalg Økonomi og Finans)"|""|"Anne-Mette Ahlmann, Otto Hansen & Co. A/S"|132
1000744|"Anne-Mette Knattrup"|"Dansk Turismefremme (bestyrelse)"|"Formand"|"Anne-Mette Knattrup, Turistchef , Formand"|133
1000734|"Anne-Mette Lysgaard"|"Dansk Aktionærforening (Lokalforeningsudvalg)"|""|"Anne-Mette Lysgaard,"|134
1000941|"Anne Britt Kirschhoff"|"Legetøjsbranchens Fællesråd - LF (bestyrelse)"|""|"Anne Britt Kirschhoff, Coop Danmark"|135
1000913|"Anne Cathrine Wilhjelm"|"Dansk Venture- og Kapitalfondsforening - DVCA (Juridisk Udvalg)"|""|"Anne Cathrine Wilhjelm, partner SEED Capital"|136
1000809|"Anne Dall"|"HBL - Helsebranchens Leverandørforening (bestyrelse)"|""|"Anne Dall,"|137
1001068|"Anne Dorte Riggelsen"|"Dansk-Fransk Handelsunion (bestyrelse)"|"ærespræsident"|"Anne Dorte Riggelsen, H.E. ambassadør Ambassade Royale du Danemark"|138
1000787|"Anne Eriksen"|"Danmarks Kartoffel Råd"|""|"Anne Eriksen, Grindsted Landbrugs- og Husholdningsskole, Lærer"|139
1001016|"Anne Ermose"|"IT-Brancheforeningen (Juridisk udvalg)"|""|"Anne Ermose, MICROSOFT Danmark ApS  aermose@microsoft.com"|140
1001070|"Anne Helene Kahns"|"Danmarks Apotekerforening (bestyrelse)"|""|"Anne Helene Kahns, Esbjerg Jerne Apotek"|141
1000823|"Anne Henriksen"|"Byggesocietetet (landsbetyrelsen)"|""|"Anne Henriksen, Advokat og medindehaver, Advokatfirmaet Vingaardshus A/S , Medlem af Landsbestyrelsen, Formand for Byggesocietetet Aalborg"|142
1000828|"Anne Henriksen"|"Byggesocietetet (Netværksgruppe6 i Aalborg)"|""|"Anne Henriksen, Adv.firmaet Vingaardshus A/S"|142
1001086|"Anne Holst Thorsner"|"Danske Maritime (administration)"|""|"Anne Holst Thorsner, erhvervssproglig korrespondent, Sekretær"|143
1000840|"Anne Lawaetz Arhnung"|"Landbrug & Fødevarer (ledelse)"|""|"Anne Lawaetz Arhnung, Sekretariatschef"|144
1001045|"Anne Margrethe Hansen"|"Dansk Vand- og Spildevandsforening (DANVA) (Vandforsyningskomité)"|""|"Anne Margrethe Hansen, Egedal Forsyning"|145
1000731|"Anne Marie Nymark Jensen"|"Dansk Aktionærforening (Generalforsamlingsudvalg)"|""|"Anne Marie Nymark Jensen,"|146
1001017|"Anne Nedergaard"|"IT-Brancheforeningen (Miljøudvalget)"|""|"Anne Nedergaard, Lexmark Danmark A/S  anne.nedergaard@lexmark.dk"|147
1000993|"Anne Nielsen"|"Kødbranchens Fællesråd (bestyrelse)"|""|"Anne Nielsen, Mogens Nielsen Kreaturslagteri, Herlufmagle"|148
1001080|"Anne Nimb"|"Danske Specialmedier (bestyrelse)"|""|"Anne Nimb, KOMmagasinet"|149
1000707|"Anne Sarto"|"Danske Arkitektvirksomheder (bestyrelse)"|"Næstformand"|"Anne Sarto, Mtre ApS, 1. næstformand"|150
1000708|"Anne Sarto"|"Danske Arkitektvirksomheder (Forretningsudvalg)"|"Næstformand"|"Anne Sarto, mtre as. 1. næstformand"|150
